Repository Name,Nº  C# Classes,Nº Branches,Nº Commits,Nº Contributors,Nº Forks,Nº Subscribers,Nº Stars
Hidenori0919Tanaka/SeleniumTestA,213,2,34,1,0,1,0
GuOrg/Gu,234,6,1545,9,10,3,14
jicata/SideProjects,254,1,84,1,0,1,0
darcyg/510,263,1,10,1,2,0,0
junmendoza/DesignScriptCore,267,1,146,1,1,1,1
xingh/fluent,274,2,140,0,0,0,0
nunit/nunit,276,15,3447,74,115,24,142
psha-/softuni,283,1,62,2,0,1,0
RHY3756547/FSOMina,317,2,219,2,0,1,0
Gnurgen/GraduationGame,352,70,1632,6,1,6,0
jiowchern/Regulus,365,4,904,3,5,9,10
hazzik/Rhino,367,3,159,1,1,2,6
HolisticWare/HolisticWare,382,1,96,1,0,3,0
HalleyLi/demo_auth,384,1,1,1,0,1,1
nunit/nunitlite,451,1,207,4,12,12,13
green-fox,457,1,365,1,0,1,0
BackupTheBerlios/mbunit,465,1,169,0,0,1,0
mono/guiunit,474,6,74,15,14,25,10
SharpMap/SharpMap,528,6,1066,21,235,90,529
vgvassilev/solid,591,2,1306,5,4,3,3
rassilon/NORMA,593,1,1539,1,1,3,2
sdm-ms,598,3,10,2,0,1,0
jamietre/CsQuery,613,3,552,11,234,119,1099
nunit/nunit,673,1,3531,67,1,7,2
junmendoza/DesignScriptStudio,698,1,12,1,2,2,2
DellHenryHan/PowershellUIA,749,1,1,1,0,1,0
flubu-core,773,5,2714,14,78,37,516
DrewNaylor/dotnetautoupdate,783,2,21,1,0,0,1
Bert6623/Gedcom,786,1,1,1,0,3,1
scottwis/Disil,806,1,1,1,0,1,1
nunit-legacy,806,1,3900,12,7,6,3
accruto/LinkMe,838,1,2,0,3,1,1
voat/voat,840,5,2059,37,292,101,1208
jacderida/JobSystem,895,3,667,2,1,3,1
isensible/flying,897,2,51,1,0,0,0
inthehand/32feet,898,1,70,3,103,48,298
trippleflux/jezatools,947,2,602,1,1,0,0
Reese-D,992,6,35371,913,0,1,1
zyanfx/Zyan,1031,4,596,4,30,13,62
noricohuas/NetTopologySuite,1056,1,1244,14,1,0,0
liujunhua/Backend,1079,1,34,1,0,1,0
tilemapjp/NetTopologySuite,1162,2,6,1,0,4,0
itext/i7n,1176,2,1224,18,12,11,53
prepare/DomQuery,1177,1,588,9,0,1,0
QuickUnit/TestGen,1281,1,1638,2,0,2,3
hardliner66/ATMELGitSCC,1295,1,1,0,0,0,2
gitextensions/gitextensions,1303,29,13921,320,1500,5000,256
ayezutov/NDistribUnit,1304,3,90,2,0,2,2
ghunreal/FileIO,1312,1,1,0,0,1,0
DynamoDS/Dynamo,1314,88,29234,85,461,189,913
Gallio/mbunit,1535,4,107,1,0,4,1
FSharpCSharp/Enterprise,1562,1,2,1,0,0,0
MarimerLLC/csla,1617,9,7375,45,314,133,776
msgpack/msgpack,1882,12,3300,39,153,64,738
itext/itext7,1980,2,3786,37,140,57,494
apetrovskiy/STUPS,2054,3,1091,3,56,28,101
mono/olive,2057,3,2178,23,19,30,16
mapleyustat/UAVStation,2114,1,1,0,0,1,0
patsissons/DotSpatial,2117,1,273,0,2,1,2
continuoustests/AutoTest,2278,3,884,13,35,24,142
enginekit/copy_of_nrefactory,2281,1,2,1,0,1,0
scottshare/UnityEncrypt,2302,1,3,1,2,1,3
ststeiger/ngit,2382,1,2,0,2,1,3
ststeiger/ngit,2382,1,2,0,2,1,3
wonwooddo/vim_setup,2421,1,2,1,0,1,0
yasser777/nettiers,2437,5,171,0,0,0,0
ExRam/DotSpatial,2499,1,7,1,1,1,0
continuoustests/ContinuousTests,3051,1,56,7,81,35,193
citizenmatt/gallio,3066,1,10,1,0,1,2
luyikk/ZYSOCKET,3286,1,68,1,24,9,32
xamarin/xamarin,3325,306,8456,97,381,1900,153
dot42/dot42,3835,1,322,2,18,17,74
MatthewMerricks/Cloud,4352,1,1680,8,0,1,1
nelafani12/mb,4721,12,3060,6,0,0,0
BenJaziaSadok/teamlab,5059,1,1,1,47,13,18
EdiCarlos/MyPractices,5101,1,2,1,0,2,1
hakeemsm/hadoop,5668,1,22,1,6,3,14
dtafe/vnr,5958,1,2,1,1,1,0
cugkgq/Project,7439,1,1099,0,0,0,0
Gitookps/root,7439,1,1099,0,0,0,0
dot42/SharpDevelop,8130,1,9086,31,6,7,3
dongdapeng110/SharpDevelopTest,8206,1,9,1,0,0,0
kerwinxu/EveryOneProgram,8316,1,6,1,0,1,0
kerwinxu/Kerwin_C_Compiler,10108,1,3,1,2,1,0
gonzos/playscript,23498,2,92808,136,1,14,5
apanda/e2d2,24348,3,103914,426,1,2,3
Openwinrt/runtime,26654,1,89330,154,1,1,1
sampsonye/myMono,27373,108,98300,345,0,1,1
jmorrill/mono4galileo,27488,1,97785,337,2,1,1
jeffsvajlenko/MutationInjectionFramework,32272,1,39,1,3,2,9
grammarware/fodder,32347,1,87945,294,1,0,1
mono/mono,37337,283,121941,776,3400,8700,553
